City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
206,Taoudenni,ML,22.6783,-3.9836,104.9,7,11,12.19,few clouds
207,Port Hardy,CA,50.6996,-127.4199,50.0,93,90,9.22,moderate rain
208,Illapel,CL,-31.6308,-71.1653,50.25,75,91,2.01,overcast clouds
209,Poso,ID,-1.3959,120.7524,79.0,85,87,2.06,light rain
210,Wuwei,CN,37.9281,102.6414,64.71,28,92,5.64,overcast clouds
211,Mehtar Lam,AF,34.6714,70.2094,85.73,50,4,4.27,clear sky
212,Utete,TZ,-7.986,38.758,93.7,30,98,8.5,overcast clouds
213,Ramona,US,33.0417,-116.8681,72.41,21,48,6.02,scattered clouds
214,Hovd,MN,48.0056,91.6419,44.24,27,63,2.1,broken clouds
215,Kemijarvi,FI,66.7131,27.4306,46.76,88,100,10.96,overcast clouds
216,Tibiri,NE,13.5627,7.0485,91.74,58,20,9.22,few clouds
217,Saint George,US,37.1041,-113.5841,68.34,28,1,5.75,clear sky
218,Cidreira,BR,-30.1811,-50.2056,62.69,77,73,7.25,broken clouds
219,Rudbar,AF,30.15,62.6,87.13,16,69,7.9,broken clouds
220,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,62,20,23.02,few clouds
221,Sorong,ID,-0.8833,131.25,78.49,87,100,6.85,moderate rain
222,Avarua,CK,-21.2078,-159.775,71.65,94,75,2.3,light rain
223,Hirara,JP,24.8,125.2833,80.87,74,40,9.22,scattered clouds
224,Outlook,CA,51.5001,-107.0513,37.09,44,1,1.86,clear sky
225,Kuala Terengganu,MY,5.3302,103.1408,81.19,77,100,4.61,overcast clouds
226,Tres Marias,MX,19.0522,-99.2431,51.46,95,100,2.04,overcast clouds
227,Tuatapere,NZ,-46.1333,167.6833,50.83,84,100,4.56,overcast clouds
228,Pangody,RU,65.85,74.4859,32.47,79,100,16.84,overcast clouds
229,Dauphin,CA,51.1494,-100.0502,48.34,76,1,9.22,light rain
230,Luanda,AO,-8.8368,13.2343,80.6,69,75,11.5,broken clouds
231,Port Augusta,AU,-32.5,137.7667,77.14,26,100,13.44,light rain
232,Bucerias,MX,20.75,-105.3333,75.97,93,95,4.45,overcast clouds
